generated_at,2026-05-27 19:28:53 UTC,,,,,,,,,,
source_server,pethubonline.com,,,,,,,,,,
git_commit,e639440 Phase 9H: Sitemap/Taxonomy Recovery + Dog Food Publishing,,,,,,,,,,
generated_by,gen_phase9i.py,,,,,,,,,,
data_source_label,WordPress REST API v2 + Live HTML + post-sitemap.xml,,,,,,,,,,

Post ID,Source Slug,Link URL,Anchor Text,Rel,HTTP Status,Hub-Spoke,Draft/Trash Check,Pet Insurance Gate,Link Type
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/best-puppy-food-uk/,Best Puppy Food UK Guide,,200,Yes,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dry-vs-wet-dog-food-uk/?share=twitter,"Share on X (Opens in new window)
				X",nofollow noopener noreferrer,403,Yes,FAIL,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dry-vs-wet-dog-food-uk/?share=facebook,"Share on Facebook (Opens in new window)
				Facebook",nofollow noopener noreferrer,200,Yes,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/best-dry-dog-food-uk/,Previous  Best Dry Dog Food UK (2026) &#8211; Evidence-Based,prev,200,Yes,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/best-puppy-food-uk/,Next   Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrit,next,200,Yes,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,Top Dog Toys Every Pet Owner Needs in 2026,bookmark noopener noreferrer,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/#respond,Leave a Comment,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/category/dog-supplies/,Dog Supplies,category tag,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/category/product-reviews/,Product Reviews,category tag,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/author/jasonsarah2026/,jasonsarah2026,author,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/best-dog-food-uk/,,,200,Yes,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/best-dog-food-uk/,Best Dog Food UK (2026) &#8211; Complete Buying Guide,bookmark noopener noreferrer,200,Yes,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/best-dog-food-uk/#respond,Leave a Comment,,200,Yes,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/category/dog-food/,Dog Food,category tag,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/category/dog-supplies/,Dog Supplies,category tag,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/category/product-reviews/,Product Reviews,category tag,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/author/jasonsarah2026/,jasonsarah2026,author,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dry-vs-wet-dog-food-uk/#respond,Cancel reply,nofollow,200,Yes,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dog-supplies/,Dog Supplies,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/cat-supplies/,Cat Supplies,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/blog/,Blog,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/contact-pet-hub-online/,Contact Us,noopener,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/terms-and-conditions/,Terms &amp; Conditions,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/privacy-policy/,Privacy Policy,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/cookie-policy/,Cookie Policy,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/affiliate-disclosure/,Affiliate Disclosure,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://www.facebook.com/profile.php?id=61589626250701,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://x.com/online_hub88911,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://www.instagram.com/pethubonline1,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
